"ID","Title","Priority","Dependencies","Milestone","Epic","ParentEpic","Area","Status","Type","Surface","Lane","Coupling","Wave","Effort","StoryPoints","Sprint","Description"
"ARC","[EPIC][ARC] Architecture","P0","none","M1 - Architecture locked","ARC","","architecture","backlog","epic","docs","Shared handoff","portfolio","Wave 0 - Cadrage","M","18","Sprint-01","Figer les choix techniques et les contrats de base"
"ARC-01","[TASK][ARC-01] Valider architecture cible web/mobile/api avec scope MVP","P0","none","M1 - Architecture locked","ARC","ARC","architecture","backlog","task","docs","Shared handoff","handoff","Wave 0 - Cadrage","M","5","Sprint-01","Valider architecture cible web/mobile/api avec scope MVP"
"ARC-02","[TASK][ARC-02] Definir conventions repo (naming, structure, quality gates)","P0","ARC-01","M1 - Architecture locked","ARC","ARC","architecture","backlog","task","docs","Shared handoff","handoff","Wave 0 - Cadrage","S","3","Sprint-01","Definir conventions repo (naming, structure, quality gates)"
"ARC-03","[TASK][ARC-03] Definir strategie de rendu web (SEO/prerender)","P0","ARC-01","M1 - Architecture locked","ARC","ARC","architecture","backlog","task","docs","Shared handoff","handoff","Wave 0 - Cadrage","S","3","Sprint-01","Definir strategie de rendu web (SEO/prerender)"
"ARC-04","[TASK][ARC-04] Definir modeles de donnees MVP","P0","ARC-01","M1 - Architecture locked","ARC","ARC","architecture","backlog","task","docs","Shared handoff","handoff","Wave 0 - Cadrage","M","5","Sprint-01","Definir modeles de donnees MVP"
"ARC-05","[TASK][ARC-05] Documenter ADRs et criteres anti-scope-creep","P1","ARC-02, ARC-04","M1 - Architecture locked","ARC","ARC","architecture","backlog","task","docs","Shared handoff","handoff","Wave 0 - Cadrage","S","2","Sprint-01","Documenter ADRs et criteres anti-scope-creep"
"LIB","[EPIC][LIB] Shared libraries","P0","ARC, SET","M2 - Workspace bootstrapped","LIB","","shared-libs","backlog","epic","shared","Shared handoff","portfolio","Wave 1 - Socle","M","15","Sprint-02","Factoriser les contrats et la logique transverse sans sur-ingenierie"
"SET","[EPIC][SET] Workspace setup","P0","ARC","M2 - Workspace bootstrapped","SET","","workspace","backlog","epic","shared","Shared handoff","portfolio","Wave 1 - Socle","L","28","Sprint-02","Rendre le workspace buildable, testable et automatisable"
"LIB-01","[TASK][LIB-01] Creer packages/contracts (DTO, schema validation, versioning)","P0","ARC-04, SET-02","M2 - Workspace bootstrapped","LIB","LIB","shared-libs","backlog","task","shared","Shared handoff","handoff","Wave 1 - Socle","M","5","Sprint-02","Creer packages/contracts (DTO, schema validation, versioning)"
"LIB-02","[TASK][LIB-02] Creer packages/domain (regles metier pures MVP)","P0","ARC-04, LIB-01","M2 - Workspace bootstrapped","LIB","LIB","shared-libs","backlog","task","shared","Shared handoff","handoff","Wave 1 - Socle","M","5","Sprint-02","Creer packages/domain (regles metier pures MVP)"
"SET-01","[TASK][SET-01] Initialiser workspace Angular monorepo (apps/web, apps/mobile)","P0","ARC-02","M2 - Workspace bootstrapped","SET","SET","workspace","backlog","task","shared","Shared handoff","handoff","Wave 1 - Socle","M","5","Sprint-02","Initialiser workspace Angular monorepo (apps/web, apps/mobile)"
"SET-02","[TASK][SET-02] Initialiser apps/api NestJS et wiring de base","P0","ARC-02","M2 - Workspace bootstrapped","SET","SET","workspace","backlog","task","shared","Shared handoff","handoff","Wave 1 - Socle","M","5","Sprint-02","Initialiser apps/api NestJS et wiring de base"
"SET-03","[TASK][SET-03] Configurer quality gates (lint, format, typecheck)","P0","SET-01, SET-02","M2 - Workspace bootstrapped","SET","SET","workspace","backlog","task","shared","Shared handoff","handoff","Wave 1 - Socle","S","3","Sprint-02","Configurer quality gates (lint, format, typecheck)"
"SET-04","[TASK][SET-04] Configurer test runners unitaires + integration","P0","SET-01, SET-02","M2 - Workspace bootstrapped","SET","SET","workspace","backlog","task","shared","Shared handoff","handoff","Wave 1 - Socle","S","3","Sprint-02","Configurer test runners unitaires + integration"
"SET-05","[TASK][SET-05] Configurer Playwright E2E et smoke pipeline","P0","SET-01, SET-04","M2 - Workspace bootstrapped","SET","SET","workspace","backlog","task","shared","Shared handoff","handoff","Wave 1 - Socle","M","5","Sprint-02","Configurer Playwright E2E et smoke pipeline"
"SET-06","[TASK][SET-06] Configurer CI GitHub Actions multi-apps","P0","SET-03, SET-04, SET-05","M2 - Workspace bootstrapped","SET","SET","workspace","backlog","task","shared","Shared handoff","handoff","Wave 1 - Socle","M","5","Sprint-02","Configurer CI GitHub Actions multi-apps"
"LIB-03","[TASK][LIB-03] Creer packages/api-client (typed client web/mobile vers API)","P1","LIB-01, SET-02","M2 - Workspace bootstrapped","LIB","LIB","shared-libs","backlog","task","shared","Shared handoff","handoff","Wave 1 - Socle","S","3","Sprint-03","Creer packages/api-client (typed client web/mobile vers API)"
"LIB-04","[TASK][LIB-04] Ajouter tests unitaires libs + guideline de publication interne","P1","LIB-02, LIB-03","M2 - Workspace bootstrapped","LIB","LIB","shared-libs","backlog","task","shared","Shared handoff","handoff","Wave 1 - Socle","S","2","Sprint-03","Ajouter tests unitaires libs + guideline de publication interne"
"SET-07","[TASK][SET-07] Mettre en place variables d'environnement et runbook local dev","P1","SET-02","M2 - Workspace bootstrapped","SET","SET","workspace","backlog","task","shared","Shared handoff","handoff","Wave 1 - Socle","S","2","Sprint-02","Mettre en place variables d'environnement et runbook local dev"
"MOB","[EPIC][MOB] Mobile shell","P0","SET, LIB","M3 - Mobile shell ready","MOB","","mobile-shell","backlog","epic","mobile","Lane B - Platform & participant","portfolio","Wave 2 - Acces","M","19","Sprint-03","Fournir l'ossature mobile Ionic/Capacitor prete pour les modules"
"MOB-01","[TASK][MOB-01] Initialiser app Ionic Angular dans apps/mobile","P0","SET-01","M3 - Mobile shell ready","MOB","MOB","mobile-shell","backlog","task","mobile","Lane B - Platform & participant","independent","Wave 2 - Acces","S","3","Sprint-03","Initialiser app Ionic Angular dans apps/mobile"
"MOB-02","[TASK][MOB-02] Mettre en place navigation shell (tabs/stack) et layout de base","P0","MOB-01","M3 - Mobile shell ready","MOB","MOB","mobile-shell","backlog","task","mobile","Lane B - Platform & participant","independent","Wave 2 - Acces","M","5","Sprint-03","Mettre en place navigation shell (tabs/stack) et layout de base"
"MOB-04","[TASK][MOB-04] Configurer Capacitor (Android/iOS) et builds debug","P0","MOB-01","M3 - Mobile shell ready","MOB","MOB","mobile-shell","backlog","task","mobile","Lane B - Platform & participant","independent","Wave 2 - Acces","M","5","Sprint-03","Configurer Capacitor (Android/iOS) et builds debug"
"MOB-03","[TASK][MOB-03] Integrer theming, design tokens et composants UI de base","P1","MOB-01, LIB-01","M3 - Mobile shell ready","MOB","MOB","mobile-shell","backlog","task","mobile","Lane B - Platform & participant","independent","Wave 2 - Acces","S","3","Sprint-03","Integrer theming, design tokens et composants UI de base"
"MOB-05","[TASK][MOB-05] Ajouter service notifications push stub (FCM wiring initial)","P1","MOB-04, SET-02","M3 - Mobile shell ready","MOB","MOB","mobile-shell","backlog","task","mobile","Lane B - Platform & participant","independent","Wave 2 - Acces","S","3","Sprint-03","Ajouter service notifications push stub (FCM wiring initial)"
"AUT","[EPIC][AUT] Auth","P0","SET, LIB, MOB","M4 - Auth ready","AUT","","auth","backlog","epic","api","Lane B - Platform & participant","portfolio","Wave 2 - Acces","M","19","Sprint-04","Offrir une authentification securisee et consistente web/mobile"
"AUT-01","[TASK][AUT-01] Configurer Supabase Auth (providers, policies de base)","P0","ARC-04, SET-02","M4 - Auth ready","AUT","AUT","auth","backlog","task","api","Lane B - Platform & participant","handoff","Wave 2 - Acces","S","3","Sprint-04","Configurer Supabase Auth (providers, policies de base)"
"AUT-02","[TASK][AUT-02] Implementer endpoints API auth/session (NestJS)","P0","AUT-01, LIB-01","M4 - Auth ready","AUT","AUT","auth","backlog","task","api","Lane B - Platform & participant","handoff","Wave 2 - Acces","M","5","Sprint-04","Implementer endpoints API auth/session (NestJS)"
"AUT-03","[TASK][AUT-03] Implementer ecrans login/signup/reset mobile","P0","MOB-02, AUT-02","M4 - Auth ready","AUT","AUT","auth","backlog","task","mobile","Lane B - Platform & participant","independent","Wave 2 - Acces","M","5","Sprint-04","Implementer ecrans login/signup/reset mobile"
"AUT-04","[TASK][AUT-04] Implementer garde routes protegees web/mobile","P0","AUT-02, LIB-03","M4 - Auth ready","AUT","AUT","auth","backlog","task","shared","Lane B - Platform & participant","paired","Wave 2 - Acces","S","3","Sprint-04","Implementer garde routes protegees web/mobile"
"AUT-05","[TASK][AUT-05] Ajouter gestion role participant/admin minimal","P1","AUT-02, ARC-04","M4 - Auth ready","AUT","AUT","auth","backlog","task","api","Lane B - Platform & participant","independent","Wave 2 - Acces","S","3","Sprint-04","Ajouter gestion role participant/admin minimal"
"ANN","[EPIC][ANN] Announcements","P0","AUT, MOB, DSH","M5 - Core participant flows ready","ANN","","announcements","backlog","epic","mobile","Lane B - Platform & participant","portfolio","Wave 3B - Parcours participant","S","10","Sprint-05-06","Diffuser annonces et mises a jour importantes"
"DSH","[EPIC][DSH] Dashboard","P0","AUT, MOB, LIB","M5 - Core participant flows ready","DSH","","dashboard","backlog","epic","mobile","Lane B - Platform & participant","portfolio","Wave 3B - Parcours participant","S","13","Sprint-05-06","Proposer une page d'accueil participant avec synthese utile"
"PRG","[EPIC][PRG] Programs","P0","AUT, MOB, LIB","M5 - Core participant flows ready","PRG","","programs","backlog","epic","mobile","Lane B - Platform & participant","portfolio","Wave 3B - Parcours participant","M","19","Sprint-05-06","Permettre consultation et suivi simple des programmes"
"RES","[EPIC][RES] Resources","P0","AUT, MOB, LIB","M5 - Core participant flows ready","RES","","resources","backlog","epic","mobile","Lane B - Platform & participant","portfolio","Wave 3B - Parcours participant","M","14","Sprint-05-06","Offrir un acces simple a des ressources utiles aux participants"
"SUP","[EPIC][SUP] Support","P0","SET, LIB, AUT","M5 - Core participant flows ready","SUP","","support","backlog","epic","api","Lane B - Platform & participant","portfolio","Wave 3B - Parcours participant","M","16","Sprint-05-06","Mettre en place un canal de support simple et fiable"
"WEB","[EPIC][WEB] Website","P0","SET, SUP","M5 - Core participant flows ready","WEB","","website","backlog","epic","web","Lane A - Web public","portfolio","Wave 3A - Site public","M","19","Sprint-05-06","Livrer le site vitrine MVP oriente conversion"
"ANN-01","[TASK][ANN-01] Definir format annonce et regles de publication MVP","P0","ARC-04","M5 - Core participant flows ready","ANN","ANN","announcements","backlog","task","shared","Lane B - Platform & participant","independent","Wave 3B - Parcours participant","S","2","Sprint-05","Definir format annonce et regles de publication MVP"
"ANN-02","[TASK][ANN-02] Implementer endpoints annonces (feed + detail)","P0","SET-02, LIB-01, AUT-02, ANN-01","M5 - Core participant flows ready","ANN","ANN","announcements","backlog","task","api","Lane B - Platform & participant","handoff","Wave 3B - Parcours participant","S","3","Sprint-06","Implementer endpoints annonces (feed + detail)"
"ANN-03","[TASK][ANN-03] Implementer flux annonces dans mobile dashboard/feed","P0","MOB-02, DSH-02, ANN-02","M5 - Core participant flows ready","ANN","ANN","announcements","backlog","task","mobile","Lane B - Platform & participant","independent","Wave 3B - Parcours participant","S","3","Sprint-06","Implementer flux annonces dans mobile dashboard/feed"
"DSH-01","[TASK][DSH-01] Definir contenu dashboard MVP (cartes, rappels, dernieres actus)","P0","ARC-04","M5 - Core participant flows ready","DSH","DSH","dashboard","backlog","task","shared","Lane B - Platform & participant","independent","Wave 3B - Parcours participant","S","2","Sprint-05","Definir contenu dashboard MVP (cartes, rappels, dernieres actus)"
"DSH-02","[TASK][DSH-02] Exposer endpoint dashboard aggregate cote API","P0","SET-02, LIB-01, AUT-02","M5 - Core participant flows ready","DSH","DSH","dashboard","backlog","task","api","Lane B - Platform & participant","handoff","Wave 3B - Parcours participant","S","3","Sprint-06","Exposer endpoint dashboard aggregate cote API"
"DSH-03","[TASK][DSH-03] Implementer vue dashboard mobile","P0","MOB-02, AUT-04, DSH-02","M5 - Core participant flows ready","DSH","DSH","dashboard","backlog","task","mobile","Lane B - Platform & participant","independent","Wave 3B - Parcours participant","M","5","Sprint-06","Implementer vue dashboard mobile"
"PRG-01","[TASK][PRG-01] Definir modele programme/cohorte/statut progression MVP","P0","ARC-04","M5 - Core participant flows ready","PRG","PRG","programs","backlog","task","shared","Lane B - Platform & participant","independent","Wave 3B - Parcours participant","S","3","Sprint-05","Definir modele programme/cohorte/statut progression MVP"
"PRG-02","[TASK][PRG-02] Implementer endpoints liste/detail programmes","P0","SET-02, LIB-01, AUT-02, PRG-01","M5 - Core participant flows ready","PRG","PRG","programs","backlog","task","api","Lane B - Platform & participant","handoff","Wave 3B - Parcours participant","M","5","Sprint-06","Implementer endpoints liste/detail programmes"
"PRG-03","[TASK][PRG-03] Implementer ecran mobile liste + detail programme","P0","MOB-02, PRG-02","M5 - Core participant flows ready","PRG","PRG","programs","backlog","task","mobile","Lane B - Platform & participant","independent","Wave 3B - Parcours participant","M","5","Sprint-06","Implementer ecran mobile liste + detail programme"
"RES-01","[TASK][RES-01] Definir taxonomie ressources (type, theme, audience)","P0","ARC-04","M5 - Core participant flows ready","RES","RES","resources","backlog","task","shared","Lane B - Platform & participant","independent","Wave 3B - Parcours participant","S","2","Sprint-05","Definir taxonomie ressources (type, theme, audience)"
"RES-02","[TASK][RES-02] Implementer endpoints ressources (liste, filtre, detail)","P0","SET-02, LIB-01, AUT-02, RES-01","M5 - Core participant flows ready","RES","RES","resources","backlog","task","api","Lane B - Platform & participant","handoff","Wave 3B - Parcours participant","M","5","Sprint-06","Implementer endpoints ressources (liste, filtre, detail)"
"RES-03","[TASK][RES-03] Implementer ecran mobile ressources (recherche/filtre)","P0","MOB-02, RES-02","M5 - Core participant flows ready","RES","RES","resources","backlog","task","mobile","Lane B - Platform & participant","independent","Wave 3B - Parcours participant","M","5","Sprint-06","Implementer ecran mobile ressources (recherche/filtre)"
"SUP-01","[TASK][SUP-01] Implementer endpoint contact/support (API + validation)","P0","SET-02, LIB-01","M5 - Core participant flows ready","SUP","SUP","support","backlog","task","api","Lane B - Platform & participant","handoff","Wave 3B - Parcours participant","M","5","Sprint-05","Implementer endpoint contact/support (API + validation)"
"SUP-02","[TASK][SUP-02] Integrer formulaire support dans mobile","P0","MOB-02, SUP-01, AUT-04","M5 - Core participant flows ready","SUP","SUP","support","backlog","task","mobile","Lane B - Platform & participant","independent","Wave 3B - Parcours participant","S","3","Sprint-06","Integrer formulaire support dans mobile"
"SUP-03","[TASK][SUP-03] Integrer formulaire contact site web","P0","WEB-01, SUP-01","M5 - Core participant flows ready","SUP","SUP","support","backlog","task","web","Lane A - Web public","independent","Wave 3A - Site public","S","3","Sprint-05","Integrer formulaire contact site web"
"WEB-01","[TASK][WEB-01] Implementer pages core (Accueil, A propos, Services, Programmes, Contact)","P0","SET-01, ARC-03","M5 - Core participant flows ready","WEB","WEB","website","backlog","task","web","Lane A - Web public","independent","Wave 3A - Site public","L","8","Sprint-05","Implementer pages core (Accueil, A propos, Services, Programmes, Contact)"
"WEB-02","[TASK][WEB-02] Integrer formulaires de contact et CTA conversion","P0","WEB-01, SUP-01","M5 - Core participant flows ready","WEB","WEB","website","backlog","task","web","Lane A - Web public","independent","Wave 3A - Site public","S","3","Sprint-05","Integrer formulaires de contact et CTA conversion"
"WEB-03","[TASK][WEB-03] Ajouter SEO technique (meta, sitemap, robots, Open Graph)","P0","WEB-01","M5 - Core participant flows ready","WEB","WEB","website","backlog","task","web","Lane A - Web public","independent","Wave 3A - Site public","S","3","Sprint-05","Ajouter SEO technique (meta, sitemap, robots, Open Graph)"
"ANN-04","[TASK][ANN-04] Ajouter notification push pour annonce prioritaire","P1","MOB-05, ANN-02","M5 - Core participant flows ready","ANN","ANN","announcements","backlog","task","mobile","Lane B - Platform & participant","independent","Wave 3B - Parcours participant","S","2","Sprint-07","Ajouter notification push pour annonce prioritaire"
"DSH-04","[TASK][DSH-04] Implementer vue dashboard web participant (si activee MVP)","P1","WEB-01, AUT-04, DSH-02","M5 - Core participant flows ready","DSH","DSH","dashboard","backlog","task","web","Lane A - Web public","independent","Wave 3B - Parcours participant","S","3","Sprint-07","Implementer vue dashboard web participant (si activee MVP)"
"PRG-04","[TASK][PRG-04] Implementer marquage de progression minimale","P1","PRG-02, LIB-02","M5 - Core participant flows ready","PRG","PRG","programs","backlog","task","api","Lane B - Platform & participant","independent","Wave 3B - Parcours participant","S","3","Sprint-07","Implementer marquage de progression minimale"
"PRG-05","[TASK][PRG-05] Ajouter scenarii de test Given/When/Then programmes","P1","PRG-03, PRG-04, QAT-01","M5 - Core participant flows ready","PRG","PRG","programs","backlog","task","qa","Lane B - Platform & participant","independent","Wave 3B - Parcours participant","S","3","Sprint-07","Ajouter scenarii de test Given/When/Then programmes"
"RES-04","[TASK][RES-04] Implementer tracking consultation ressources","P1","RES-02, WEB-04","M5 - Core participant flows ready","RES","RES","resources","backlog","task","qa","Lane B - Platform & participant","independent","Wave 3B - Parcours participant","S","2","Sprint-07","Implementer tracking consultation ressources"
"SUP-04","[TASK][SUP-04] Configurer envoi email transactionnel (Resend ou equivalent)","P1","SUP-01","M5 - Core participant flows ready","SUP","SUP","support","backlog","task","api","Lane B - Platform & participant","independent","Wave 3B - Parcours participant","S","2","Sprint-08","Configurer envoi email transactionnel (Resend ou equivalent)"
"SUP-05","[TASK][SUP-05] Ajouter suivi et statut basique des demandes support","P1","SUP-01, AUT-05","M5 - Core participant flows ready","SUP","SUP","support","backlog","task","api","Lane B - Platform & participant","independent","Wave 3B - Parcours participant","S","3","Sprint-07","Ajouter suivi et statut basique des demandes support"
"WEB-04","[TASK][WEB-04] Ajouter analytics web (PostHog/GA)","P1","WEB-01","M5 - Core participant flows ready","WEB","WEB","website","backlog","task","web","Lane A - Web public","independent","Wave 3A - Site public","S","2","Sprint-08","Ajouter analytics web (PostHog/GA)"
"WEB-05","[TASK][WEB-05] Optimiser accessibilite/performance (objectif Lighthouse > 90)","P1","WEB-01, WEB-03","M5 - Core participant flows ready","WEB","WEB","website","backlog","task","web","Lane A - Web public","independent","Wave 3A - Site public","S","3","Sprint-08","Optimiser accessibilite/performance (objectif Lighthouse > 90)"
"QAT","[EPIC][QAT] QA","P0","WEB, AUT, DSH, PRG, RES, ANN, SUP","M6 - QA ready","QAT","","qa","backlog","epic","qa","Shared handoff","portfolio","Wave 4 - Qualite","M","26","Sprint-07","Verifier la conformite fonctionnelle, qualite et robustesse du MVP"
"QAT-01","[TASK][QAT-01] Definir matrice de couverture (page, composant, comportement)","P0","SET-04, SET-05","M6 - QA ready","QAT","QAT","qa","backlog","task","qa","Shared handoff","paired","Wave 4 - Qualite","S","3","Sprint-07","Definir matrice de couverture (page, composant, comportement)"
"QAT-02","[TASK][QAT-02] Ecrire tests unitaires composants critiques web/mobile","P0","QAT-01, WEB-01, MOB-02","M6 - QA ready","QAT","QAT","qa","backlog","task","qa","Shared handoff","paired","Wave 4 - Qualite","M","5","Sprint-07","Ecrire tests unitaires composants critiques web/mobile"
"QAT-03","[TASK][QAT-03] Ecrire tests integration API modules critiques","P0","QAT-01, AUT-02, PRG-02, RES-02, ANN-02, SUP-01","M6 - QA ready","QAT","QAT","qa","backlog","task","qa","Shared handoff","paired","Wave 4 - Qualite","M","5","Sprint-07","Ecrire tests integration API modules critiques"
"QAT-04","[TASK][QAT-04] Ecrire E2E Given/When/Then pour parcours coeur participant","P0","QAT-01, AUT-03, DSH-03, PRG-03, RES-03, SUP-02","M6 - QA ready","QAT","QAT","qa","backlog","task","qa","Shared handoff","paired","Wave 4 - Qualite","M","5","Sprint-07","Ecrire E2E Given/When/Then pour parcours coeur participant"
"QAT-05","[TASK][QAT-05] Realiser campagne regression et corriger blockers","P0","QAT-02, QAT-03, QAT-04","M6 - QA ready","QAT","QAT","qa","backlog","task","qa","Shared handoff","paired","Wave 4 - Qualite","M","5","Sprint-07","Realiser campagne regression et corriger blockers"
"QAT-06","[TASK][QAT-06] Realiser checks accessibilite/performance pre-pilot","P1","QAT-05, WEB-05","M6 - QA ready","QAT","QAT","qa","backlog","task","qa","Shared handoff","paired","Wave 4 - Qualite","S","3","Sprint-07","Realiser checks accessibilite/performance pre-pilot"
"DEP","[EPIC][DEP] Deployment","P0","QAT, WEB, MOB, SET","M7 - Pilot release ready","DEP","","deployment","backlog","epic","ops","Shared handoff","portfolio","Wave 5 - Release","L","27","Sprint-08","Preparer et executer un lancement pilote maitrise"
"DEP-01","[TASK][DEP-01] Configurer environnements (dev/staging/pilot)","P0","SET-07","M7 - Pilot release ready","DEP","DEP","deployment","backlog","task","ops","Shared handoff","paired","Wave 5 - Release","S","3","Sprint-08","Configurer environnements (dev/staging/pilot)"
"DEP-02","[TASK][DEP-02] Mettre en place pipeline deploiement web","P0","SET-06, WEB-05","M7 - Pilot release ready","DEP","DEP","deployment","backlog","task","ops","Shared handoff","paired","Wave 5 - Release","M","5","Sprint-08","Mettre en place pipeline deploiement web"
"DEP-03","[TASK][DEP-03] Mettre en place pipeline deploiement API","P0","SET-06, QAT-03","M7 - Pilot release ready","DEP","DEP","deployment","backlog","task","ops","Shared handoff","paired","Wave 5 - Release","M","5","Sprint-08","Mettre en place pipeline deploiement API"
"DEP-04","[TASK][DEP-04] Preparer distribution mobile test (APK/TestFlight interne)","P0","MOB-04, QAT-04","M7 - Pilot release ready","DEP","DEP","deployment","backlog","task","ops","Shared handoff","paired","Wave 5 - Release","M","5","Sprint-08","Preparer distribution mobile test (APK/TestFlight interne)"
"DEP-06","[TASK][DEP-06] Rediger runbook incident + rollback + pilot checklist","P0","DEP-01, DEP-05, QAT-06","M7 - Pilot release ready","DEP","DEP","deployment","backlog","task","ops","Shared handoff","paired","Wave 5 - Release","S","3","Sprint-08","Rediger runbook incident + rollback + pilot checklist"
"DEP-07","[TASK][DEP-07] Executer go/no-go pilote et publier release pilote","P0","DEP-02, DEP-03, DEP-04, DEP-06","M7 - Pilot release ready","DEP","DEP","deployment","backlog","task","ops","Shared handoff","paired","Wave 5 - Release","S","3","Sprint-08","Executer go/no-go pilote et publier release pilote"
"DEP-05","[TASK][DEP-05] Finaliser observabilite et alerting minimum","P1","DEP-02, DEP-03","M7 - Pilot release ready","DEP","DEP","deployment","backlog","task","ops","Shared handoff","paired","Wave 5 - Release","S","3","Sprint-08","Finaliser observabilite et alerting minimum"
